gene_set,pathway_name,stId,species,entities_found,entities_total,entities_ratio,p_value,fdr,reactions_found,reactions_total,reactions_ratio,token,reactome_browser_url
all,Negative Regulation of CDH1 Gene Transcription,R-HSA-9764725,Homo sapiens,3,68,0.004200382976094879,0.032972518471480416,0.4084904550659927,5,42,0.002624015994002249,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-9764725&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Formation of the ureteric bud,R-HSA-9830674,Homo sapiens,2,29,0.0017913397986286984,0.03581801026103315,0.4084904550659927,2,14,0.0008746719980007497,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-9830674&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Replacement of protamines by nucleosomes in the male pronucleus,R-HSA-9821993,Homo sapiens,2,30,0.0018531101365124468,0.038080498020640396,0.4084904550659927,1,6,0.000374859427714607,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-9821993&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Regulation of cortical dendrite branching,R-HSA-8985801,Homo sapiens,1,4,0.0002470813515349929,0.03995340610577902,0.4084904550659927,2,2,0.00012495314257153568,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-8985801&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,NuRD complex assembly,R-HSA-9937850,Homo sapiens,3,74,0.004571005003397369,0.04068530118865399,0.4084904550659927,11,21,0.0013120079970011245,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-9937850&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Kidney development,R-HSA-9830369,Homo sapiens,3,75,0.004632775341281117,0.04205183363293585,0.4084904550659927,3,50,0.003123828564288392,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-9830369&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,ChAHP complex assembly,R-HSA-9940465,Homo sapiens,2,32,0.0019766508122799433,0.0427638338878753,0.4084904550659927,1,4,0.00024990628514307136,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-9940465&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Packaging Of Telomere Ends,R-HSA-171306,Homo sapiens,2,33,0.0020384211501636913,0.045182107235837154,0.4084904550659927,2,2,0.00012495314257153568,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-171306&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,RNA Polymerase I Promoter Opening,R-HSA-73728,Homo sapiens,2,33,0.0020384211501636913,0.045182107235837154,0.4084904550659927,1,2,0.00012495314257153568,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-73728&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Nervous system development,R-HSA-9675108,Homo sapiens,11,603,0.03724751374390018,0.045650991281041664,0.4084904550659927,35,322,0.020117455954017243,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-9675108&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,"CHD3, CHD4, CHD5 subfamily",R-HSA-9943965,Homo sapiens,3,78,0.004818086354932361,0.04628833003219923,0.4084904550659927,12,25,0.001561914282144196,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-9943965&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Regulation of CDH1 Gene Transcription,R-HSA-9764560,Homo sapiens,3,78,0.004818086354932361,0.04628833003219923,0.4084904550659927,5,56,0.0034986879920029987,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-9764560&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Positive epigenetic regulation of rRNA expression,R-HSA-5250913,Homo sapiens,3,79,0.004879856692816109,0.04774573567238938,0.4084904550659927,5,7,0.00043733599900037484,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-5250913&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,NoRC negatively regulates rRNA expression,R-HSA-427413,Homo sapiens,3,79,0.004879856692816109,0.04774573567238938,0.4084904550659927,4,7,0.00043733599900037484,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-427413&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Phenylketonuria,R-HSA-2160456,Homo sapiens,1,5,0.00030885168941874113,0.04969130018477863,0.4084904550659927,1,1,6.247657128576784e-05,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-2160456&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Defective MAOA causes BRUNS,R-HSA-5579012,Homo sapiens,1,5,0.00030885168941874113,0.04969130018477863,0.4084904550659927,1,1,6.247657128576784e-05,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-5579012&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,DNA methylation,R-HSA-5334118,Homo sapiens,2,35,0.002161961825931188,0.05016558040682839,0.4084904550659927,7,7,0.00043733599900037484,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-5334118&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Maternal to zygotic transition (MZT),R-HSA-9816359,Homo sapiens,4,137,0.008462536290073507,0.0525449585925718,0.4084904550659927,11,46,0.0028739222791453207,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-9816359&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,RNA Polymerase I Promoter Clearance,R-HSA-73854,Homo sapiens,3,84,0.005188708382234851,0.05536624322467698,0.4084904550659927,7,10,0.0006247657128576784,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-73854&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Phase 0 - rapid depolarisation,R-HSA-5576892,Homo sapiens,2,38,0.0023472728395824327,0.05798984863496237,0.4084904550659927,2,2,0.00012495314257153568,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-5576892&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Recognition and association of DNA glycosylase with site containing an affected purine,R-HSA-110330,Homo sapiens,2,38,0.0023472728395824327,0.05798984863496237,0.4084904550659927,2,10,0.0006247657128576784,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-110330&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,RNA Polymerase I Transcription,R-HSA-73864,Homo sapiens,3,86,0.0053122490580023475,0.05856743666386677,0.4084904550659927,10,14,0.0008746719980007497,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-73864&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Assembly of the ORC complex at the origin of replication,R-HSA-68616,Homo sapiens,2,39,0.0024090431774661807,0.06068628710284518,0.4084904550659927,2,11,0.0006872422841434462,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-68616&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Negative epigenetic regulation of rRNA expression,R-HSA-5250941,Homo sapiens,3,88,0.005435789733769843,0.06185424390895378,0.4084904550659927,8,12,0.000749718855429214,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-5250941&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Acyl chain remodelling of PC,R-HSA-1482788,Homo sapiens,2,40,0.002470813515349929,0.06342498317183232,0.4084904550659927,3,9,0.0005622891415719105,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-1482788&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Amyloid fiber formation,R-HSA-977225,Homo sapiens,3,89,0.005497560071653592,0.06352935337127041,0.4084904550659927,2,33,0.002061726852430339,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-977225&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Regulation of endogenous retroelements by the Human Silencing Hub (HUSH) complex,R-HSA-9843970,Homo sapiens,2,41,0.002532583853233677,0.06620481447312543,0.4084904550659927,5,8,0.0004998125702861427,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-9843970&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Recognition and association of DNA glycosylase with site containing an affected pyrimidine,R-HSA-110328,Homo sapiens,2,41,0.002532583853233677,0.06620481447312543,0.4084904550659927,1,21,0.0013120079970011245,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-110328&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Trafficking of myristoylated proteins to the cilium,R-HSA-5624138,Homo sapiens,1,7,0.00043239236518623756,0.0688735313151202,0.4084904550659927,4,8,0.0004998125702861427,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-5624138&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,FXIIa activates plasma kallikrein-kinin system,R-HSA-9970672,Homo sapiens,2,42,0.0025943541911174254,0.06902467680826119,0.4084904550659927,2,18,0.001124578283143821,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-9970672&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Cleavage of the damaged purine,R-HSA-110331,Homo sapiens,2,44,0.0027178948668849217,0.07478016714457125,0.4084904550659927,2,9,0.0005622891415719105,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-110331&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Depurination,R-HSA-73927,Homo sapiens,2,45,0.00277966520476867,0.0777136753716069,0.4084904550659927,4,19,0.0011870548544295888,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-73927&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Noncanonical activation of NOTCH3,R-HSA-9017802,Homo sapiens,1,8,0.0004941627030699858,0.07831982638109125,0.4084904550659927,1,2,0.00012495314257153568,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-9017802&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Intestinal hexose absorption,R-HSA-8981373,Homo sapiens,1,8,0.0004941627030699858,0.07831982638109125,0.4084904550659927,1,3,0.0001874297138573035,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-8981373&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Relaxin receptors,R-HSA-444821,Homo sapiens,1,8,0.0004941627030699858,0.07831982638109125,0.4084904550659927,1,4,0.00024990628514307136,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-444821&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,PRC2 methylates histones and DNA,R-HSA-212300,Homo sapiens,2,46,0.0028414355426524185,0.08068297460097562,0.4084904550659927,4,4,0.00024990628514307136,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-212300&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Transcriptional regulation by small RNAs,R-HSA-5578749,Homo sapiens,2,46,0.0028414355426524185,0.08068297460097562,0.4084904550659927,1,5,0.0003123828564288392,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-5578749&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Inhibition of DNA recombination at telomere,R-HSA-9670095,Homo sapiens,2,47,0.0029032058805361664,0.08368704780730951,0.4084904550659927,3,4,0.00024990628514307136,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-9670095&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression,R-HSA-427389,Homo sapiens,2,47,0.0029032058805361664,0.08368704780730951,0.4084904550659927,2,4,0.00024990628514307136,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-427389&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,R-HSA-5625886,Homo sapiens,2,48,0.0029649762184199148,0.08672489468561118,0.4084904550659927,8,11,0.0006872422841434462,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-5625886&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Chromatin modifications during the maternal to zygotic transition (MZT),R-HSA-9821002,Homo sapiens,2,48,0.0029649762184199148,0.08672489468561118,0.4084904550659927,6,12,0.000749718855429214,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-9821002&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Cleavage of the damaged pyrimidine ,R-HSA-110329,Homo sapiens,2,50,0.003088516894187411,0.09289799045643887,0.4084904550659927,1,20,0.0012495314257153568,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-110329&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Depyrimidination,R-HSA-73928,Homo sapiens,2,50,0.003088516894187411,0.09289799045643887,0.4084904550659927,2,41,0.0025615394227164814,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-73928&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Defective pyroptosis,R-HSA-9710421,Homo sapiens,2,51,0.0031502872320711595,0.09603132027564931,0.4084904550659927,1,3,0.0001874297138573035,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-9710421&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,CHL1 interactions,R-HSA-447041,Homo sapiens,1,10,0.0006177033788374823,0.09692759763023795,0.4084904550659927,1,5,0.0003123828564288392,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-447041&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Deposition of new CENPA-containing nucleosomes at the centromere,R-HSA-606279,Homo sapiens,2,53,0.003273827907838656,0.10238686503540573,0.4084904550659927,2,4,0.00024990628514307136,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-606279&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Nucleosome assembly,R-HSA-774815,Homo sapiens,2,53,0.003273827907838656,0.10238686503540573,0.4084904550659927,2,4,0.00024990628514307136,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-774815&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Condensation of Prophase Chromosomes,R-HSA-2299718,Homo sapiens,2,54,0.003335598245722404,0.10560725512982738,0.4084904550659927,8,10,0.0006247657128576784,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-2299718&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,ROBO receptors bind AKAP5,R-HSA-9010642,Homo sapiens,1,11,0.0006794737167212304,0.1060909738948117,0.4084904550659927,4,7,0.00043733599900037484,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-9010642&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Neurotransmitter uptake and metabolism In glial cells,R-HSA-112313,Homo sapiens,1,11,0.0006794737167212304,0.1060909738948117,0.4084904550659927,1,3,0.0001874297138573035,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-112313&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Astrocytic Glutamate-Glutamine Uptake And Metabolism,R-HSA-210455,Homo sapiens,1,11,0.0006794737167212304,0.1060909738948117,0.4084904550659927,1,3,0.0001874297138573035,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-210455&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,TGFBR3 PTM regulation,R-HSA-9839383,Homo sapiens,1,11,0.0006794737167212304,0.1060909738948117,0.4084904550659927,1,3,0.0001874297138573035,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-9839383&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Sodium/Proton exchangers,R-HSA-425986,Homo sapiens,1,11,0.0006794737167212304,0.1060909738948117,0.4084904550659927,1,4,0.00024990628514307136,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-425986&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Intestinal absorption,R-HSA-8963676,Homo sapiens,1,11,0.0006794737167212304,0.1060909738948117,0.4084904550659927,1,6,0.000374859427714607,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-8963676&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Carboxyterminal post-translational modifications of tubulin,R-HSA-8955332,Homo sapiens,2,55,0.003397368583606152,0.108854865884076,0.4084904550659927,1,6,0.000374859427714607,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-8955332&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Nonhomologous End-Joining (NHEJ),R-HSA-5693571,Homo sapiens,2,56,0.0034591389214899005,0.11212882267798163,0.4084904550659927,4,13,0.0008121954267149819,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-5693571&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,NGF-stimulated transcription,R-HSA-9031628,Homo sapiens,2,56,0.0034591389214899005,0.11212882267798163,0.4084904550659927,10,37,0.00231163313757341,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-9031628&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Enzymatic degradation of Dopamine by monoamine oxidase,R-HSA-379398,Homo sapiens,1,12,0.0007412440546049787,0.1151619282143529,0.4084904550659927,1,2,0.00012495314257153568,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-379398&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Regulation of commissural axon pathfinding by SLIT and ROBO,R-HSA-428542,Homo sapiens,1,12,0.0007412440546049787,0.1151619282143529,0.4084904550659927,1,5,0.0003123828564288392,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-428542&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,NOTCH4 Activation and Transmission of Signal to the Nucleus,R-HSA-9013700,Homo sapiens,1,12,0.0007412440546049787,0.1151619282143529,0.4084904550659927,1,5,0.0003123828564288392,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-9013700&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
all,Regulated proteolysis of p75NTR,R-HSA-193692,Homo sapiens,1,12,0.0007412440546049787,0.1151619282143529,0.4084904550659927,1,5,0.0003123828564288392,MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D,https://reactome.org/PathwayBrowser/#/R-HSA-193692&DTAB=AN&ANALYSIS=MjAyNjA1MjgxMjU3NDhfMzAzMA%3D%3D
